x,y,z
0.000000,0.000000,0.000000
0.000000,0.000001,0.000273
0.000000,0.000005,0.000546
0.000000,0.000011,0.000818
0.000000,0.000019,0.001091
0.000000,0.000030,0.001364
0.000000,0.000044,0.001636
0.000000,0.000059,0.001908
0.000000,0.000078,0.002181
0.000000,0.000098,0.002453
0.000000,0.000121,0.002725
0.000000,0.000147,0.002996
0.000000,0.000175,0.003268
0.000000,0.000205,0.003539
0.000000,0.000238,0.003809
0.000000,0.000273,0.004080
0.000000,0.000311,0.004350
0.000000,0.000351,0.004620
0.000000,0.000394,0.004890
0.000000,0.000439,0.005159
0.000000,0.000486,0.005427
0.000000,0.000536,0.005695
0.000000,0.000589,0.005963
0.000000,0.000643,0.006230
0.000000,0.000701,0.006497
0.000000,0.000760,0.006763
0.000000,0.000822,0.007029
0.000000,0.000887,0.007294
0.000000,0.000954,0.007559
0.000000,0.001023,0.007822
0.000000,0.001095,0.008086
0.000000,0.001169,0.008348
0.000000,0.001246,0.008610
0.000000,0.001325,0.008871
0.000000,0.001406,0.009131
0.000000,0.001490,0.009391
0.000000,0.001576,0.009650
0.000000,0.001665,0.009908
0.000000,0.001756,0.010165
0.000000,0.001850,0.010421
0.000000,0.001945,0.010677
0.000000,0.002043,0.010931
0.000000,0.002144,0.011185
0.000000,0.002247,0.011438
0.000000,0.002352,0.011689
0.000000,0.002459,0.011940
0.000000,0.002569,0.012190
0.000000,0.002682,0.012439
0.000000,0.002796,0.012686
0.000000,0.002913,0.012933
0.000000,0.003032,0.013178
0.000000,0.003153,0.013422
0.000000,0.003277,0.013666
0.000000,0.003403,0.013908
0.000000,0.003531,0.014148
0.000000,0.003662,0.014388
0.000000,0.003795,0.014626
0.000000,0.003930,0.014863
0.000000,0.004067,0.015099
0.000000,0.004206,0.015334
0.000000,0.004348,0.015567
0.000000,0.004492,0.015798
0.000000,0.004638,0.016029
0.000000,0.004786,0.016258
0.000000,0.004937,0.016486
0.000000,0.005089,0.016712
0.000000,0.005244,0.016936
0.000000,0.005401,0.017160
0.000000,0.005560,0.017382
0.000000,0.005721,0.017602
0.000000,0.005884,0.017820
0.000000,0.006049,0.018038
0.000000,0.006216,0.018253
0.000000,0.006385,0.018467
0.000000,0.006557,0.018679
0.000000,0.006730,0.018890
0.000000,0.006905,0.019099
0.000000,0.007083,0.019306
0.000000,0.007262,0.019512
0.000000,0.007443,0.019716
0.000000,0.007626,0.019918
0.000000,0.007811,0.020118
0.000000,0.007998,0.020317
0.000000,0.008187,0.020514
0.000000,0.008378,0.020709
0.000000,0.008571,0.020902
0.000000,0.008765,0.021093
0.000000,0.008962,0.021283
0.000000,0.009160,0.021470
0.000000,0.009360,0.021656
0.000000,0.009562,0.021840
0.000000,0.009765,0.022021
0.000000,0.009970,0.022201
0.000000,0.010177,0.022379
0.000000,0.010386,0.022555
0.000000,0.010596,0.022728
0.000000,0.010808,0.022900
0.000000,0.011022,0.023070
0.000000,0.011237,0.023237
0.000000,0.011454,0.023403
0.000000,0.011672,0.023566
0.000000,0.011892,0.023727
0.000000,0.012114,0.023887
0.000000,0.012337,0.024044
0.000000,0.012562,0.024198
0.000000,0.012788,0.024351
